id,city,area,geoarea,population,climate_class,builtup_area,income_group,orientation_entropy,walk_prox_poi_mean,walk_prox_poi_median,walk_prox_poi_range,walk_prox_poi_std,walk_prox_poi_iqr,walk_prox_pub_transport_mean,walk_prox_pub_transport_median,walk_prox_pub_transport_range,walk_prox_pub_transport_std,walk_prox_pub_transport_iqr,walk_circuity,walk_street_len_mean,walk_street_len_median,walk_street_len_range,walk_street_len_std,walk_street_len_iqr,walk_street_density,walk_street_len_total,walk_link_node_ratio,walk_intersection_density,walk_intersection_count,bike_prox_poi_mean,bike_prox_poi_median,bike_prox_poi_range,bike_prox_poi_std,bike_prox_poi_iqr,bike_slope_mean,bike_slope_median,bike_slope_range,bike_slope_std,bike_slope_iqr,bike_circuity,bike_street_len_mean,bike_street_len_median,bike_street_len_range,bike_street_len_std,bike_street_len_iqr,bike_street_density,bike_street_len_total,bike_link_node_ratio,bike_intersection_density,bike_intersection_count
84,quito,380,AM,2605678.13,9,93.966531,Upper Middle,3.537060954,26.80505481,29,53,14.15404447,22,3.364798321,2,22,4.062636356,5,1.093105299,79.49739308,57.78864836,6853.444575,87.78246339,61.82285214,17875.19804,6792575.254,1.301243898,208.8657895,79369,42.62324755,44,64,13.17933283,18,0.071019492,0.042143668,0.999235693,0.097505092,0.087327269,1.065928704,81.21286664,59.7484339,6853.444156,87.26018488,60.06657433,29341.56756,11149795.67,1.289141062,126.3157895,48000
80,bogota,534,AM,10419360.65,15,151.98184,Upper Middle,3.550393397,27.36817052,28,59,11.5877896,15,3.214712341,2,38,4.494652562,5,1.052477436,59.4838836,43.89742697,2733.388813,59.50778444,47.91702099,21263.48331,11354700.09,1.41770235,277.670412,148276,46.72999065,48,73,12.75232174,14,0.043723912,0.021584247,0.997219764,0.068710635,0.054276892,1.054349015,69.72651213,50.94935445,3253.012074,73.97830525,55.86764802,30592.44191,16336363.98,1.381181338,156.6067416,83628
78,ottawa,208,AM,604618.1703,26,39.650541,High income,3.38871472,26.28866413,26,54,10.12426548,13,10.81837597,9,61,8.401928351,10,1.079533755,55.0121561,35.25990597,2286.061377,62.24274251,48.38520844,22398.67542,4658924.488,1.3878696,371.5817308,77289,45.24118653,45,64,11.25038803,13,0.028738483,0.01464041,0.953988823,0.047262411,0.039697715,1.098664968,63.74485633,41.98878408,2174.041064,72.98378213,56.51166663,34213.82578,7116475.761,1.325007541,184.9038462,38460
82,havana,321,AM,1632771.662,3,56.147515,Upper Middle,3.564727495,25.18119157,24,55,13.67474691,19,6.742151528,6,43,5.981002155,8,1.057586123,82.56002006,67.33493154,4802.487833,76.31454062,66.75770255,12095.94313,3882797.743,1.432649644,105,33705,44.84950431,46,64,13.14103808,16,0.029862745,0.020926695,0.958935973,0.036668202,0.033820894,1.052202907,92.74276394,76.49946887,1958.523413,79.26578057,65.42022415,20137.31434,6464077.904,1.453455496,71.19937695,22855
79,santiago,801,AM,6633766.609,8,222.766877,High income,3.429245848,23.64243974,23,56,10.83537505,13,7.068109812,7,43,4.917773235,7,1.038988522,65.3534235,46.38201145,2723.502984,68.150059,54.8278923,17378.13619,13919887.09,1.388582291,212.2184769,169987,43.67375987,44,66,10.76964909,10,0.025700801,0.015172711,0.989810022,0.04250086,0.032542922,1.034207111,68.33066409,48.76735563,2726.51372,70.23645505,53.7154258,28093.28668,22502722.63,1.394285061,149.9787765,120133
92,managua,216,AM,1436088.514,3,54.594299,Lower Middle,3.351376103,21.45662412,22,47,11.19106918,17,8.219881359,6,59,8.178705104,11,1.054143242,78.31467377,59.01882952,2552.45915,75.59129565,60.89849985,13522.33367,2920824.073,1.417760201,123.2638889,26625,42.43641618,48,59,12.665266,16,0.03295968,0.02281241,0.976815083,0.042474331,0.038977128,1.048551087,80.9052855,61.33280743,2552.46523,76.61594834,59.41757522,24628.91733,5319846.143,1.407668593,98.29166667,21231
81,san_jose,491,AM,2272571.519,2,109.575763,Upper Middle,3.53896773,22.59985931,22,55,11.71701567,16,2.44277907,0,57,4.484997581,3,1.088417369,81.32486049,59.26993013,2640.506024,83.15274309,62.70630096,11023.2453,5412413.44,1.263964793,108.5845214,53315,43.08077712,44,62,11.55775699,17,0.04505651,0.030622096,0.981523388,0.055161485,0.051937616,1.078060057,87.22520554,63.35833807,2640.506024,89.3979173,65.70768602,19550.70376,9599395.545,1.246929554,72.45621181,35576
95,lima,984,AM,10828103.83,4,272.341473,Upper Middle,3.576773984,21.60422509,22,54,12.08741629,19,1.496265539,0,39,3.110791217,2,1.053812847,59.89930568,46.00918575,5705.404364,60.82550517,46.07641955,19584.94239,19271583.31,1.42044353,251.0365854,247020,37.8886513,39,61,13.66961643,20,0.055520241,0.026400687,0.998838946,0.087102025,0.065619174,1.046847887,73.11949309,53.88125681,5705.403956,70.56974706,54.57282199,29609.30774,29135558.82,1.451569501,144.6199187,142306
75,belize_city,27,AM,76330.51281,2,3.944688,Upper Middle,3.328685495,21.85307909,21,38,10.21462318,19,1.405126602,1,10,1.75107308,2,1.064683615,77.91298697,60.02697338,1075.918657,65.87040033,60.59027125,10691.39321,288667.6167,1.328852766,108.5925926,2932,39.9868709,44,44,6.952048099,7,0.021551438,0.013006022,0.76307307,0.035231522,0.028983335,1.05986318,77.76520417,60.62037291,1075.918657,62.6400589,58.63589709,17960.88197,484943.8132,1.361779723,80.74074074,2180
98,washington,1301,AM,3471725.09,14,231.319836,High income,3.548679095,19.45274527,18,52,11.81901418,18,3.812850903,1,52,5.511393262,6,1.116925498,65.35085377,41.86133286,4374.603435,77.16842796,61.80620119,19462.59939,25320841.8,1.338463282,259.2467333,337280,35.34625928,36,66,12.7592074,18,0.041318684,0.025678495,0.994472579,0.059271797,0.055380553,1.099513889,71.92914205,49.20327726,3318.675102,78.9531176,65.65464014,30647.73029,39872697.1,1.349075412,144.746349,188315
99,montevideo,237,AM,1219221.866,14,75.049396,High income,3.521592421,20.52304328,18,51,11.92268623,18,9.260923382,8,61,7.381778343,9,1.02300839,90.76507918,82.24438112,2966.523805,80.03024401,73.68585407,13619.35758,3227787.746,1.548293931,97.5907173,23129,38.04896173,39,59,12.64291046,18,0.033206741,0.022261179,0.972055594,0.044292923,0.035285834,1.023173837,102.5915443,95.87419643,3119.508809,86.74064761,71.55939952,21963.248,5205289.775,1.560260586,73.86919831,17507
